pdb,study_group,reason
4TZ4,10.1038/nsmb.2874,Primary report linked to PDB 4TZ4 by PubMed
8G66,10.1038/s41467-024-44698-1,Final report lists PDB 8G66 in its data availability statement
9SQ4,10.1038/s41587-026-03237-7,Final report lists PDB 9SQ4 to 9SQ6 in its data availability statement
9SQ5,10.1038/s41587-026-03237-7,Final report lists PDB 9SQ4 to 9SQ6 in its data availability statement
9SQ6,10.1038/s41587-026-03237-7,Final report lists PDB 9SQ4 to 9SQ6 in its data availability statement
9UUM,10.1101/2025.06.08.658527,bioRxiv preprint lists PDB 9UUM and 9V0A to 9V0F in its data availability statement
9V0A,10.1101/2025.06.08.658527,bioRxiv preprint lists PDB 9UUM and 9V0A to 9V0F in its data availability statement
9V0B,10.1101/2025.06.08.658527,bioRxiv preprint lists PDB 9UUM and 9V0A to 9V0F in its data availability statement
9V0F,10.1101/2025.06.08.658527,bioRxiv preprint lists PDB 9UUM and 9V0A to 9V0F in its data availability statement
